time,close,high,low,open,volumefrom,volumeto
1352505600,11.01,11.18,10.7,10.82,65333.1,713877.82
1352764800,11.2,11.3,10.82,11.01,73201.77,806361.79
1353024000,11.65,11.83,11.17,11.2,92872.76,1074178.64
1353283200,11.77,11.84,11.57,11.65,71645.9,838860.73
1353542400,12.41,12.48,11.67,11.77,96839.59,1179012.4
1353801600,12.2,12.65,11.89,12.41,93132.2,1145434.55
1354060800,12.57,12.65,12.1,12.2,81543.86,1012266.23
1354320000,12.68,12.69,12.43,12.57,55467.95,697169.15
1354579200,13.3,13.69,12.62,12.68,139603.19,1842690.85
1354838400,13.39,13.55,12.98,13.3,74137.7,987720.9
1355097600,13.7,13.8,13.27,13.39,90390.01,1222204.95
1355356800,13.49,13.9,13,13.7,109529.32,1488198.26
1355616000,13.3,13.67,12.75,13.49,129612.31,1717315.26
1355875200,13.5,13.72,13.2,13.3,97117.91,1309084.98
1356134400,13.38,13.59,13.01,13.5,55453.77,738744.86
1356393600,13.42,13.47,13.14,13.38,48827.87,651926.23
1356652800,13.45,13.67,13.27,13.42,61726.35,831222.86
1356912000,13.28,13.56,13.16,13.45,61422.81,820834.44
1357171200,13.44,13.55,13.25,13.28,69004.1,925662.72
1357430400,13.74,13.88,13.36,13.44,81017.22,1102804.2
1357689600,14.14,14.35,13.62,13.74,120851.95,1691659.99
1357948800,14.3,14.35,13.95,14.14,87358.94,1237323.2
1358208000,15.5,15.7,13.99,14.3,162595.16,2386543.73
1358467200,15.7,15.99,15.25,15.5,116668.5,1822778.82
1358726400,17.5,17.59,15.63,15.7,171916.71,2904773.79
1358985600,17.88,19.19,15.39,17.5,287587.19,4996176.38
1359244800,19.53,19.8,17.21,17.88,167518.34,3127308.6
1359504000,20.5,21.43,19.15,19.53,194209.01,3954721.3
1359763200,20.43,21.05,18,20.5,166965.09,3327745.09
1360022400,22.15,22.22,20.2,20.43,145465.81,3085811.64
1360281600,23.97,24.11,22,22.15,143209.01,3298226.17
1360540800,24.2,26.3,23.65,23.97,193916.87,4871850.82
1360800000,27.22,27.6,21.72,24.2,216275.83,5617702.4
1361059200,29.42,29.65,25,27.22,206485.74,5639557.67
1361318400,30.25,31.3,28.99,29.42,138891.56,4166913.56
1361577600,30.4,30.69,28,30.25,123332.01,3627974.45
1361836800,33.38,34.52,30.12,30.4,199854.52,6417000.99
1362096000,34.5,34.9,32.92,33.38,88973.22,3031547.29
1362355200,41.02,49.1,34.19,34.5,258648.73,10732875.38
1362614400,46.85,46.99,33.3,41.02,248887.94,10493196.65
1362873600,44.29,48.47,36.65,46.85,261165.18,11688840.78
1363132800,46.95,47.99,43.75,44.29,106842.76,5005172.3
1363392000,51.6,52.88,46.27,46.95,95563.18,4624794.13
1363651200,70.85,74.9,50,51.6,299148.71,18479151.15
1363910400,71.5,73.75,52.35,70.85,265682.94,17497111.43
1364169600,88.92,89.5,69.52,71.5,208637.15,16428272.02
1364428800,92.19,95.7,75,88.92,260722.26,23065259.72
1364688000,117.98,118.36,91,92.19,192977.34,19766220.54
1364947200,142.32,147,110,117.98,309664.99,40706120.94
1365206400,187.5,194.9,139.54,142.32,193493.92,32735554.28
1365465600,124.9,266,105,187.5,414764.69,76708535.13
1365724800,90,140,54.25,124.9,961090.57,90093622.27
1365984000,93.07,102,50.01,90,1136652.38,85947110.77
1366243200,126.62,136.43,86,93.07,504506.28,56782206.62
1366502400,143.48,144.02,110,126.62,274430.21,34972343.12
1366761600,136.9,166.43,120.09,143.48,542557.8,78260762.09
1367020800,144,149.08,122.71,136.9,157611.78,21507969.61
1367280000,106.25,146.93,91.11,144,479412.11,55852699.09
1367539200,115.98,118.85,79,106.25,463303.73,46208407.09
1367798400,113.2,124.9,97.52,115.98,351460.91,39507926.43
1368057600,115.64,122.5,108.8,113.2,132470.13,15395697.29
1368316800,111.4,119.8,109.42,115.64,134552.39,15507453.5
1368576000,123.5,125.56,103.02,111.4,242323.88,27836543.36
1368835200,122.02,125.31,119.5,123.5,60540.15,7431069.78
1369094400,126.3,126.93,121.1,122.02,53813.25,6663112.31
1369353600,133.5,136,125.36,126.3,88970.34,11667459.96
1369612800,132.25,135.47,124,133.5,88876.54,11485265.56
1369872000,129.3,132.4,126.33,132.25,47633.08,6136862.65
1370131200,121.4,130.1,115,129.3,151979.9,18431372.34
1370390400,111,123.5,106.15,121.4,104510.12,12039723.81
1370649600,106.35,113.19,88,111,230970.05,23308213.23
1370908800,103.95,112.25,100.3,106.35,64267.03,6866856.54
1371168000,99.9,104.7,97.1,103.95,67241.16,6758792.03
1371427200,108.25,113.3,98.9,99.9,93372.61,9941235.61
1371686400,108.2,115.01,107.12,108.25,88442.62,9827424.61
1371945600,103.33,109.98,100,108.2,133655.39,13935012.32
1372204800,94.66,105.49,92.25,103.33,75729.42,7509579
1372464000,88.05,100.44,86.01,94.66,87280.49,8155477.38
1372723200,80.04,92.57,72,88.05,164932,13604282.4
1372982400,76.5,80.6,65.42,80.04,175048.95,12404379.95
1373241600,88,89.84,72.46,76.5,151585.28,11955395.82
1373500800,98.32,104.17,85,88,171577.61,16115290.11
1373760000,97.1,101.94,92.86,98.32,63379.55,6218550.48
1374019200,92,100,86.2,97.1,104453.84,9665506.55
1374278400,91.6,93.1,88,92,27300.31,2489462.18
1374537600,96.95,97.48,91.6,91.6,61721.74,5888155.89
1374796800,98.78,100.58,93,96.95,68496.75,6670382.03
1375056000,106.21,111.65,98.45,98.78,98088.72,10309380.04
1375315200,104.95,108,101.21,106.21,51427.65,5397733.35
1375574400,106.56,107.77,103.5,104.95,35222.77,3742649.89
1375833600,102.8,106.96,100.96,106.56,43770.63,4539744.32
1376092800,106.81,108.12,102.38,102.8,32250.49,3397021.75
1376352000,109.99,115,104.5,106.81,85177.29,9464102.66
1376611200,113.38,114.69,108.21,109.99,35944.12,4008910.99
1376870400,123.3,125,111.77,113.38,107993,12960443.59
1377129600,119.6,124.49,118.02,123.3,42386.66,5089082.42
1377388800,131.29,133,119.14,119.6,72738.18,9173109.01
1377648000,138.03,142.76,128.02,131.29,66851.7,8956283.33
1377907200,144,148.7,135.89,138.03,55890.38,8035282.71
1378166400,130.2,148.91,127.24,144,72782.55,9968384.16
1378425600,126.32,134,121.25,130.2,40709.78,5159133.5
1378684800,142.1,145.9,124,126.32,80121.31,10799110.36
1378944000,136.71,145.6,136.5,142.1,49541.66,6993978.07
1379203200,139.15,142.23,135.04,136.71,26691.71,3711033.89
1379462400,133.81,142,131,139.15,41561.21,5675277.55
1379721600,133.4,135.99,131,133.81,16976.73,2264512.63
1379980800,137.1,139,132.5,133.4,24628.96,3329301.3
1380240000,143.88,145.81,134.83,137.1,58900.22,8287835.83
1380499200,123,145.81,109.7,143.88,135516.86,17300864.03
1380758400,136.7,139.8,120.1,123,58773.15,7659697.88
1381017600,136.49,139,134.1,136.7,17479.28,2379261.32
1381276800,140.1,142.1,135.8,136.49,35820.97,4995848.44
1381536000,151.37,153.69,139.39,140.1,57185.45,8414345.77
1381795200,157.59,162.99,144.2,151.37,74389.87,11523088.38
1382054400,186.1,195.8,156.49,157.59,92586.79,16313299.99
1382313600,227.97,227.98,183.18,186.1,97861.19,19901817.8
1382572800,188.56,233.38,175.3,227.97,145584.29,28906494.25
1382832000,216,216.5,188.95,188.56,34246.9,7040024.19
1383091200,213.43,216.49,203.99,216,24644.87,5226929.78
1383350400,238.16,238.98,211,213.43,35209.13,7904170.41
1383609600,309.65,324.21,229,238.16,170049.21,46901285.3
1383868800,336.32,394.99,289.96,309.65,168795.71,57725080.36
1384128000,434.85,444.97,321.41,336.32,76042.74,29420619.13
1384387200,461.96,476.94,402.54,434.85,78667.18,34464756.79
1384646400,645.69,900.92,456.98,461.96,197892.24,127897593.89
1384905600,802,821.99,453.29,645.69,160476.74,100563423.04
1385164800,829.99,890.03,745.21,802,73644.05,60122787.55
1385424000,1101.38,1224.48,825.08,829.99,106869.77,109066878.61
1385683200,1004.39,1241.92,840.27,1101.38,133724.49,146541723.77
1385942400,1237.55,1239.7,974.97,1004.39,72682.39,80510390.34
1386201600,697.02,1239.86,576.03,1237.55,209623.81,183767164.93
1386460800,1033.72,1067.7,653.03,697.02,80939.07,69332599.88
1386720000,936.77,1056.76,839.51,1033.72,51646.05,48023141.04
1386979200,759.92,947.93,714.03,936.77,68080.49,56733333.6
1387238400,731.95,779.96,454.86,759.92,187979.28,115442977.35
1387497600,639.49,774.39,610,731.95,61127.05,41535072.29
1387756800,707.25,729.94,631.01,639.49,31355.85,21579454.26
1388016000,761.99,836.83,707.21,707.25,50755.9,39410779.2
1388275200,805.94,818.83,734.98,761.99,26685.71,21154371.09
1388534400,884.26,888.23,770.97,805.94,33277.87,27900393.05
1388793600,1012.65,1093.44,848.32,884.26,58689.74,57196229.05
1389052800,936.95,1043.98,858.9,1012.65,51174.8,47898796.03
1389312000,939.79,1022.67,905.88,936.95,27464.22,26477373.13
1389571200,941.22,973.09,879.94,939.79,21272.6,19629587.78
1389830400,905.72,955.53,867.22,941.22,21456.43,19416857.98
1390089600,962.21,980.54,901.88,905.72,24562.26,23341954.54
1390348800,916.55,973.94,902.89,962.21,12954.46,12027090.65
1390608000,943.54,1038.06,915.86,916.55,29582.22,28904429.55
1390867200,941.39,972.61,909.46,943.54,21509.55,20038954.31
1391126400,953.31,969.19,924.59,941.39,10257.86,9638942.92
1391385600,904.52,959.58,890.05,953.31,14957.28,13718523.05
1391644800,648.78,908.77,632.08,904.52,91382.21,67635960.98
1391904000,578.96,700.04,500.04,648.78,76740.87,47142116.71
1392163200,427.68,585.12,302.18,578.96,116063.14,51107322.06
1392422400,272.28,540.03,220.37,427.68,188237.12,61098924.8
1392681600,111.92,370.12,109.22,272.28,182563.92,39356773.77
1392940800,310.17,349.15,91.66,111.92,193310.29,33112855.01
1393200000,593.14,650,102.33,310.17,126147.54,22305879.94
1393459200,557.39,629.9,262.77,593.14,1408.04,894388.86
1393718400,661.85,695.44,541.54,557.39,3455.8,2211804.07
1393977600,616.73,665.97,600.31,661.85,5663.38,3721479.07
1394236800,612.97,637.6,588.58,616.73,6744.19,4194956.09
1394496000,625.04,640.79,599.92,612.97,9037.7,5711535.12
1394755200,619.14,631.23,609.18,625.04,10758.75,6738341.48
1395014400,594.96,622.49,585.66,619.14,10810.03,6626179.65
1395273600,564.34,598.41,537.16,594.96,11829.5,6723699.8
1395532800,562.89,572.52,531.27,564.34,11669.03,6482728.38
